Date,SPY,^VIX
2016-10-03,194.08509826660156,13.569999694824219
2016-10-04,193.09564208984375,13.630000114440918
2016-10-05,193.9501190185547,12.989999771118164
2016-10-06,194.08509826660156,12.84000015258789
2016-10-07,193.41943359375,13.479999542236328
2016-10-10,194.42684936523438,13.380000114440918
2016-10-11,191.97132873535156,15.359999656677246
2016-10-12,192.22320556640625,15.90999984741211
2016-10-13,191.59359741210938,16.690000534057617
2016-10-14,191.69252014160156,16.1200008392334
2016-10-17,191.0269317626953,16.209999084472656
2016-10-18,192.22320556640625,15.279999732971191
2016-10-19,192.7358856201172,14.40999984741211
2016-10-20,192.37612915039062,13.75
2016-10-21,192.466064453125,13.34000015258789
2016-10-24,193.28457641601562,13.020000457763672
2016-10-25,192.63693237304688,13.460000038146973
2016-10-26,192.2501678466797,14.239999771118164
2016-10-27,191.7375030517578,15.359999656677246
2016-10-28,191.1707763671875,16.190000534057617
2016-10-31,191.17982482910156,17.059999465942383
2016-11-01,189.7946319580078,18.559999465942383
2016-11-02,188.65237426757812,19.31999969482422
2016-11-03,187.78883361816406,22.079999923706055
2016-11-04,187.58197021484375,22.510000228881836
2016-11-07,191.71945190429688,18.709999084472656
2016-11-08,192.58297729492188,18.739999771118164
2016-11-09,194.62477111816406,14.380000114440918
2016-11-10,195.11048889160156,14.739999771118164
2016-11-11,194.6607208251953,14.170000076293945
2016-11-14,194.81358337402344,14.479999542236328
2016-11-15,196.33367919921875,13.369999885559082
2016-11-16,195.96495056152344,13.720000267028809
2016-11-17,196.9723358154297,13.350000381469727
2016-11-18,196.5315704345703,12.850000381469727
2016-11-21,198.01573181152344,12.420000076293945
2016-11-22,198.40245056152344,12.40999984741211
2016-11-23,198.51039123535156,12.430000305175781
2016-11-25,199.24798583984375,12.34000015258789
2016-11-28,198.31251525878906,13.149999618530273
2016-11-29,198.69923400878906,12.899999618530273
2016-11-30,198.2225799560547,13.329999923706055
2016-12-01,197.49403381347656,14.069999694824219
2016-12-02,197.5929718017578,14.119999885559082
2016-12-05,198.78024291992188,12.140000343322754
2016-12-06,199.40985107421875,11.789999961853027
2016-12-07,202.01829528808594,12.220000267028809
2016-12-08,202.5130157470703,12.640000343322754
2016-12-09,203.73623657226562,11.75
2016-12-12,203.50242614746094,12.640000343322754
2016-12-13,204.8605499267578,12.720000267028809
2016-12-14,203.16958618164062,13.1899995803833
2016-12-15,204.00608825683594,12.789999961853027
2016-12-16,203.6071014404297,12.199999809265137
2016-12-19,204.05039978027344,11.710000038146973
2016-12-20,204.83758544921875,11.449999809265137
2016-12-21,204.26756286621094,11.270000457763672
2016-12-22,203.91473388671875,11.430000305175781
2016-12-23,204.21327209472656,11.4399995803833
2016-12-27,204.71995544433594,11.989999771118164
2016-12-28,203.0280303955078,12.949999809265137
2016-12-29,202.98281860351562,13.369999885559082
2016-12-30,202.24090576171875,14.039999961853027
2017-01-03,203.7880401611328,12.850000381469727
2017-01-04,205.00042724609375,11.850000381469727
2017-01-05,204.83758544921875,11.670000076293945
2017-01-06,205.57040405273438,11.319999694824219
2017-01-09,204.891845703125,11.5600004196167
2017-01-10,204.891845703125,11.489999771118164
2017-01-11,205.47091674804688,11.260000228881836
2017-01-12,204.95521545410156,11.539999961853027
2017-01-13,205.42564392089844,11.229999542236328
2017-01-17,204.70187377929688,11.869999885559082
2017-01-18,205.1542205810547,12.479999542236328
2017-01-19,204.3942413330078,12.779999732971191
2017-01-20,205.1451873779297,11.539999961853027
2017-01-23,204.61135864257812,11.770000457763672
2017-01-24,205.92327880859375,11.069999694824219
2017-01-25,207.7056427001953,10.8100004196167
2017-01-26,207.48854064941406,10.630000114440918
2017-01-27,207.1627960205078,10.579999923706055
2017-01-30,205.8780059814453,11.880000114440918
2017-01-31,205.8599853515625,11.989999771118164
2017-02-01,205.94139099121094,11.8100004196167
2017-02-02,206.0771026611328,11.930000305175781
2017-02-03,207.49757385253906,10.970000267028809
2017-02-06,207.12655639648438,11.369999885559082
2017-02-07,207.1356658935547,11.289999961853027
2017-02-08,207.40711975097656,11.449999809265137
2017-02-09,208.6375732421875,10.880000114440918
2017-02-10,209.4608612060547,10.850000381469727
2017-02-13,210.6009063720703,11.069999694824219
2017-02-14,211.4423065185547,10.739999771118164
2017-02-15,212.546142578125,11.970000267028809
2017-02-16,212.3651885986328,11.760000228881836
2017-02-17,212.6999053955078,11.489999771118164
2017-02-21,213.96658325195312,11.569999694824219
2017-02-22,213.776611328125,11.739999771118164
2017-02-23,213.92140197753906,11.710000038146973
2017-02-24,214.19281005859375,11.470000267028809
2017-02-27,214.52752685546875,12.09000015258789
2017-02-28,213.948486328125,12.920000076293945
2017-03-01,216.94322204589844,12.539999961853027
2017-03-02,215.57705688476562,11.8100004196167
2017-03-03,215.71275329589844,10.960000038146973
2017-03-06,215.07037353515625,11.239999771118164
2017-03-07,214.4280242919922,11.449999809265137
2017-03-08,214.02992248535156,11.859999656677246
2017-03-09,214.30136108398438,12.300000190734863
2017-03-10,215.05230712890625,11.65999984741211
2017-03-13,215.16085815429688,11.350000381469727
2017-03-14,214.33753967285156,12.300000190734863
2017-03-15,216.19229125976562,11.630000114440918
2017-03-16,215.76707458496094,11.210000038146973
2017-03-17,215.38812255859375,11.279999732971191
2017-03-20,215.15185546875,11.34000015258789
2017-03-21,212.38938903808594,12.470000267028809
2017-03-22,212.8892364501953,12.8100004196167
2017-03-23,212.66201782226562,13.119999885559082
2017-03-24,212.50758361816406,12.960000038146973
2017-03-27,212.2895050048828,12.5
2017-03-28,213.83432006835938,11.529999732971191
2017-03-29,214.03414916992188,11.420000076293945
2017-03-30,214.7156982421875,11.539999961853027
2017-03-31,214.2159423828125,12.369999885559082
2017-04-03,213.84335327148438,12.380000114440918
2017-04-04,213.9796600341797,11.789999961853027
2017-04-05,213.34356689453125,12.890000343322754
2017-04-06,213.94329833984375,12.390000343322754
2017-04-07,213.72523498535156,12.869999885559082
2017-04-10,213.85244750976562,14.050000190734863
2017-04-11,213.59799194335938,15.069999694824219
2017-04-12,212.66201782226562,15.770000457763672
2017-04-13,211.2808074951172,15.960000038146973
2017-04-17,213.15274047851562,14.65999984741211
2017-04-18,212.51666259765625,14.420000076293945
2017-04-19,212.12588500976562,14.930000305175781
2017-04-20,213.85244750976562,14.149999618530273
2017-04-21,213.17088317871094,14.630000114440918
2017-04-24,215.515380859375,10.84000015258789
2017-04-25,216.76934814453125,10.760000228881836
2017-04-26,216.63302612304688,10.850000381469727
2017-04-27,216.81475830078125,10.359999656677246
2017-04-28,216.34225463867188,10.819999694824219
2017-05-01,216.88748168945312,10.109999656677246
2017-05-02,216.96922302246094,10.59000015258789
2017-05-03,216.7057342529297,10.680000305175781
2017-05-04,216.9601593017578,10.460000038146973
2017-05-05,217.8143310546875,10.569999694824219
2017-05-08,217.7779998779297,9.770000457763672
2017-05-09,217.57809448242188,9.960000038146973
2017-05-10,217.96884155273438,10.210000038146973
2017-05-11,217.52357482910156,10.600000381469727
2017-05-12,217.16009521484375,10.399999618530273
2017-05-15,218.35955810546875,10.420000076293945
2017-05-16,218.15965270996094,10.649999618530273
2017-05-17,214.2886199951172,15.59000015258789
2017-05-18,215.15185546875,14.65999984741211
2017-05-19,216.55125427246094,12.039999961853027
2017-05-22,217.6508331298828,10.930000305175781
2017-05-23,218.1324005126953,10.720000267028809
2017-05-24,218.64126586914062,10.020000457763672
2017-05-25,219.6862335205078,9.989999771118164
2017-05-26,219.64085388183594,9.8100004196167
2017-05-30,219.4499969482422,10.380000114440918
2017-05-31,219.39547729492188,10.40999984741211
2017-06-01,221.14019775390625,9.890000343322754
2017-06-02,221.87619018554688,9.75
2017-06-05,221.71266174316406,10.069999694824219
2017-06-06,221.00387573242188,10.449999809265137
2017-06-07,221.4127960205078,10.390000343322754
2017-06-08,221.52183532714844,10.15999984741211
2017-06-09,221.1856231689453,10.699999809265137
2017-06-12,221.14019775390625,11.460000038146973
2017-06-13,222.22154235839844,10.420000076293945
2017-06-14,221.93983459472656,10.640000343322754
2017-06-15,221.51278686523438,10.899999618530273
2017-06-16,221.56114196777344,10.380000114440918
2017-06-19,223.40565490722656,10.369999885559082
2017-06-20,221.8989715576172,10.859999656677246
2017-06-21,221.84425354003906,10.75
2017-06-22,221.74374389648438,10.479999542236328
2017-06-23,222.00856018066406,10.020000457763672
2017-06-26,222.1546630859375,9.899999618530273
2017-06-27,220.3649139404297,11.0600004196167
2017-06-28,222.3373260498047,10.029999732971191
2017-06-29,220.3832244873047,11.4399995803833
2017-06-30,220.7941131591797,11.180000305175781
2017-07-03,221.16851806640625,11.220000267028809
2017-07-05,221.6798553466797,11.069999694824219
2017-07-06,219.65267944335938,12.539999961853027
2017-07-07,221.0771942138672,11.1899995803833
2017-07-10,221.31460571289062,11.109999656677246
2017-07-11,221.15025329589844,10.890000343322754
2017-07-12,222.81214904785156,10.300000190734863
2017-07-13,223.1865234375,9.899999618530273
2017-07-14,224.22743225097656,9.510000228881836
2017-07-17,224.20010375976562,9.819999694824219
2017-07-18,224.3187713623047,9.890000343322754
2017-07-19,225.53326416015625,9.789999961853027
2017-07-20,225.63369750976562,9.579999923706055
2017-07-21,225.4328155517578,9.359999656677246
2017-07-24,225.37802124023438,9.430000305175781
2017-07-25,225.92588806152344,9.430000305175781
2017-07-26,225.9350128173828,9.600000381469727
2017-07-27,225.72503662109375,10.109999656677246
2017-07-28,225.460205078125,10.289999961853027
2017-07-31,225.3323516845703,10.260000228881836
2017-08-01,225.83456420898438,10.09000015258789
2017-08-02,225.9441375732422,10.279999732971191
2017-08-03,225.50587463378906,10.4399995803833
2017-08-04,225.91676330566406,10.029999732971191
2017-08-07,226.33682250976562,9.930000305175781
2017-08-08,225.77978515625,10.960000038146973
2017-08-09,225.77066040039062,11.109999656677246
2017-08-10,222.5837860107422,16.040000915527344
2017-08-11,222.9125518798828,15.510000228881836
