date,AAPL,GE,AMD,WMT,BAC,T,XOM,RRC,BBY,PFE,JPM
24/07/2007,13.044954,27.262777,15.21,37.06881,39.37653,22.30521,67.541809,35.192066,35.41803,15.934995,34.997265
25/07/2007,13.274151,27.398346,15.58,36.953007,40.027924,22.766151,68.991676,35.317799,35.550797,15.864566,34.943249
26/07/2007,14.119378,26.795065,14.73,36.14246,39.443333,22.468225,65.601219,35.308132,34.879124,15.461234,34.024708
27/07/2007,13.911456,26.293467,13.87,35.463158,39.59367,22.057873,63.638306,35.018005,34.527691,15.230755,34.140491
30/07/2007,13.677423,26.618837,13.79,35.671577,39.835842,22.355801,63.950607,36.362259,34.980675,15.211545,34.541855
31/07/2007,12.742256,26.273123,13.54,35.470863,39.602016,22.012907,63.296276,35.917397,34.824474,15.051492,33.970669
01/08/2007,13.055592,26.401911,13.41,35.679302,39.777386,22.614384,63.824215,35.907719,34.551136,15.128314,34.256271
02/08/2007,13.199688,26.456144,13.4,36.073002,39.902664,22.822369,63.333466,35.752991,34.722942,15.269167,34.418365
03/08/2007,12.75096,25.798643,12.85,35.138939,39.251247,22.175924,61.028549,34.524803,34.06691,15.051492,33.692787
06/08/2007,13.079767,26.503592,12.77,36.296864,40.220005,22.631243,62.11409,34.7859,34.691711,15.435625,34.819748
07/08/2007,13.058489,26.761168,12.63,36.327736,40.645916,22.743679,63.720093,36.865135,35.066582,15.589276,34.997265
08/08/2007,12.959846,27.425459,13.42,37.377583,41.506119,22.681835,65.355843,37.522747,35.355553,15.945643,35.900364
09/08/2007,12.222933,26.395136,13.08,35.856842,40.378689,22.063492,62.407181,38.22871,35.090004,15.64111,34.094166
10/08/2007,12.088511,25.913877,13.01,35.563499,40.579113,21.84989,63.086475,37.600113,35.214966,15.543925,34.155922
13/08/2007,12.358325,25.873198,12.84,35.640701,40.50396,21.967934,61.899567,36.778088,34.738567,15.479126,33.831734
14/08/2007,11.994703,25.541061,12.54,33.82663,39.969475,21.506992,62.056324,35.646618,34.051292,15.278267,33.42263
15/08/2007,11.595296,25.012344,11.95,33.578369,40.278477,21.355217,60.981377,34.698872,34.004433,15.245873,33.191059
16/08/2007,11.31968,25.215696,11.64,33.74905,41.63139,21.315861,60.219936,34.070267,33.62175,15.155158,35.097626
17/08/2007,11.804186,26.062992,11.89,33.741295,43.226486,21.951071,62.810303,34.524803,34.105961,15.511524,36.286308
20/08/2007,11.819662,25.907087,12.1,33.818878,42.884068,21.726225,63.101425,34.370068,34.262157,15.660551,35.884941
21/08/2007,12.337049,25.995213,12.17,33.904213,42.842327,21.782429,62.071243,34.128288,34.433983,15.705903,35.661106
22/08/2007,12.814788,26.530706,12.01,33.943008,43.134628,22.361423,62.392258,34.234688,34.629234,15.971559,35.506725
23/08/2007,12.675526,26.517149,12.06,33.493015,43.284946,22.541306,62.519169,34.128288,34.394924,15.952121,35.251991
24/08/2007,13.0846,26.713724,12.13,33.935253,43.318348,22.687466,63.96735,35.356495,34.394924,16.029875,35.468117
27/08/2007,12.789644,26.435812,11.98,33.99733,42.483208,22.541306,63.541862,34.930962,34.14502,16.042822,34.665363
28/08/2007,12.264519,25.791859,11.66,33.671459,41.472706,21.804918,61.959286,33.770473,33.676399,15.854931,33.65419
29/08/2007,12.966619,26.239227,12.3,34.284378,42.215977,22.597527,63.623974,34.805256,34.340256,15.984516,34.06329
30/08/2007,13.176477,26.029106,12.42,33.609394,41.932034,22.350183,63.75087,34.766567,34.121578,15.906761,33.939789
31/08/2007,13.392133,26.347689,13,33.849907,42.324554,22.412012,63.997231,35.114727,34.324638,16.094664,34.36433
04/09/2007,13.941435,26.462929,13.17,33.59388,42.6586,22.642481,65.116982,36.63303,34.316814,16.250166,34.966396
05/09/2007,13.2258,26.266346,12.9,32.934418,42.244194,22.333313,65.109512,37.725834,33.785751,16.010435,34.094166
06/09/2007,13.056559,26.706947,12.94,33.174915,42.108875,22.338942,65.311043,37.996628,33.746704,15.952121,34.125042
07/09/2007,12.743224,26.266346,12.61,32.887859,41.457661,21.771194,64.012161,37.232616,33.465553,15.712386,33.592442
10/09/2007,13.220963,26.564604,12.94,32.794765,41.406906,21.799295,63.347775,36.894142,33.340599,15.524486,33.908928
11/09/2007,13.102978,26.77474,12.97,33.314583,41.821331,22.37829,64.900475,37.909592,33.473358,15.67351,34.379765
12/09/2007,13.234501,27.04587,12.83,33.136143,41.770573,22.406393,65.430489,38.992702,33.528023,15.67351,34.325745
13/09/2007,13.26835,27.459352,12.73,33.407688,42.168076,22.917931,66.15461,38.51849,33.941948,15.699422,35.19796
14/09/2007,13.424047,27.350887,12.69,33.609394,42.244194,22.732424,66.19194,38.828182,34.426167,15.738297,35.151653
17/09/2007,13.385363,27.235662,12.84,33.609394,41.872078,22.485092,66.632339,38.953999,34.785427,15.634628,34.958679
18/09/2007,13.628104,28.252426,13.3,34.478336,43.309803,22.95166,68.498611,39.50563,37.065926,15.900284,36.911549
19/09/2007,13.613598,28.313427,13.1,34.718853,43.19141,23.373262,68.767357,39.612083,37.073742,16.120584,36.718578
20/09/2007,13.56911,28.142832,13.35,34.385242,42.954605,23.626215,68.744942,39.718563,36.269318,15.887327,36.247738
21/09/2007,13.940468,28.149656,13.24,34.315414,43.33519,23.907269,68.909157,40.328274,36.519215,15.932681,36.378956
24/09/2007,14.339873,27.87668,13.48,34.113686,42.785461,23.761122,68.476196,39.554035,36.105301,15.822532,35.769157
25/09/2007,14.813745,28.047281,13.81,33.485256,42.472553,23.92976,68.647896,38.83786,35.933491,15.705903,35.583912
26/09/2007,14.774095,28.1633,13.75,33.59388,42.633232,24.075914,68.953957,39.099171,36.175594,15.926206,35.607075
27/09/2007,14.941399,28.24519,13.28,33.834385,42.793915,24.075914,69.401878,39.437889,36.081875,16.03635,35.668812
28/09/2007,14.841789,28.252012,13.2,33.865433,42.514835,23.783609,69.09581,39.350807,35.941299,15.829011,35.367779
01/10/2007,15.119341,28.675112,13.23,34.501617,42.82774,23.738638,70.133446,40.163742,36.659801,16.101143,36.13195
02/10/2007,15.323395,28.743357,13.2,34.811951,43.741127,23.839827,68.856911,41.160583,37.12059,16.159452,36.402107
03/10/2007,15.27214,28.354378,13.23,35.013672,43.918724,23.564377,68.17762,40.841217,37.901588,16.250166,36.573296
04/10/2007,15.109668,28.456741,13.35,34.912811,44.316216,23.603729,67.871544,41.547707,37.948593,16.392714,36.767834
05/10/2007,15.613522,28.504507,13.63,35.199871,44.578407,23.890018,68.200005,42.709064,38.488907,16.574137,37.024635
08/10/2007,16.238247,28.340727,13.63,35.122299,44.341602,23.770967,67.692383,41.886444,38.70034,16.489904,36.915684
09/10/2007,16.233421,28.675112,13.79,35.075726,44.460007,23.799316,69.177902,42.486469,38.982239,16.548214,37.016846
10/10/2007,16.129942,28.531796,14.02,35.37056,44.231647,23.668921,69.521286,42.85424,38.715992,16.548214,36.503265
11/10/2007,15.688951,28.388498,13.8,36.386913,44.333134,23.58955,69.170464,43.06715,38.888283,16.489904,36.308739
12/10/2007,16.174423,27.999516,13.94,36.51104,44.037132,23.975056,69.78257,42.728439,38.927441,16.366802,36.433231
15/10/2007,16.14831,27.856207,13.98,36.037777,43.487411,23.918367,70.78289,42.69939,38.567211,16.198332,36.005253
16/10/2007,16.399752,27.822094,13.96,35.580032,42.455627,23.708603,70.723175,42.157417,38.081703,15.958592,35.102592
17/10/2007,16.706318,27.979055,14.11,35.680897,42.311848,23.770967,70.76796,42.050961,38.113029,15.906761,36.083069
18/10/2007,16.778854,27.835737,14.55,35.603306,41.313896,23.702936,70.954582,44.005928,37.463055,15.900284,35.717327
19/10/2007,16.480991,27.323929,13.8,34.897289,40.231346,23.453495,68.782272,42.476791,36.77393,15.595755,35.032543
22/10/2007,16.862019,27.41263,13.75,35.10677,40.408966,23.340107,67.86409,41.857391,36.820923,15.563359,35.304909
23/10/2007,18.003176,27.624189,13.73,34.082657,40.408966,23.821993,68.192535,41.750931,37.048023,15.582795,35.748455
24/10/2007,17.98093,27.453579,13.12,34.03611,40.155239,23.555534,68.774803,42.380009,37.322086,15.537445,36.005253
25/10/2007,17.676302,27.405811,12.75,34.043861,39.749279,23.243734,68.356789,42.844559,37.533531,15.738297,35.834042
26/10/2007,17.861982,27.555933,12.89,34.633511,40.62038,23.504511,68.834526,43.715588,37.815441,15.751257,36.822308
29/10/2007,17.899696,27.678789,12.88,34.920563,40.578098,23.663252,69.879616,43.163929,38.300972,15.880846,36.316505
30/10/2007,18.084415,27.624189,13,35.199871,40.586559,23.476166,68.035782,41.673531,38.324455,15.841969,36.230911
31/10/2007,18.369699,28.088224,13.08,35.075726,40.831825,23.691595,68.670288,43.483295,37.995564,15.945643,36.573296
01/11/2007,18.126963,27.528654,12.8,34.16024,38.658291,22.937599,66.065018,42.747765,36.938377,15.518005,34.487831
02/11/2007,18.168547,27.521832,13.17,34.284378,38.150867,22.914917,65.639526,42.486469,36.993195,15.336584,33.577404
05/11/2007,18.005112,27.433111,13.42,34.16024,37.592674,22.699486,65.43795,42.196125,36.585987,15.336584,33.281708
06/11/2007,18.547644,27.41947,13.43,34.361973,38.531433,22.699486,67.468414,42.728439,36.867912,15.505044,34.324432
07/11/2007,18.016716,26.668814,13.01,34.082657,36.628548,21.917135,65.347626,41.112183,36.272755,15.295162,32.869286
08/11/2007,16.96937,26.627863,12.51,33.842152,36.789223,22.302649,67.011292,40.618618,36.413723,15.157425,33.157204
09/11/2007,15.992616,26.191116,12.37,33.283546,37.195194,22.22328,65.085342,39.815327,35.254726,14.97378,32.923744
12/11/2007,14.869829,26.102404,11.95,33.609394,37.195194,21.91148,63.354237,37.724895,35.685455,15.098399,32.986
13/11/2007,16.436502,26.757523,12.4,35.665382,39.131905,22.591774,65.107834,38.644295,36.687805,15.446012,35.055893
14/11/2007,16.064178,26.621038,12.28,36.084332,38.675205,22.302649,64.680664,38.779789,36.664307,15.485368,35.133698
15/11/2007,15.889138,26.143347,12.7,35.843819,37.27977,22.319649,63.316776,37.908787,36.288422,15.275493,33.873104
16/11/2007,16.091257,26.375372,12.64,35.952442,37.525013,22.421694,63.773876,38.373302,36.679955,15.341073,33.530712
19/11/2007,15.855286,26.040985,12.07,35.277466,36.21413,21.401243,63.031998,38.712044,36.437199,14.895075,32.192276
20/11/2007,16.329157,25.959106,11.28,35.300735,36.17186,21.559975,65.812256,38.276524,37.087166,14.901633,32.394608
21/11/2007,16.291445,25.365393,10.83,34.804188,35.639042,21.231163,65.227745,37.076469,37.275116,14.658955,31.655357
23/11/2007,16.589304,25.7066,10.78,35.479176,36.493217,21.333214,66.164505,37.502296,37.604008,15.072165,32.64362
26/11/2007,16.68601,25.065132,10.27,34.936085,35.419155,20.607548,64.208549,37.076469,37.784122,14.626164,31.484154
27/11/2007,16.90554,25.556469,10.15,35.556759,36.31562,20.822987,64.733109,36.679668,38.449745,15.006577,32.954876
28/11/2007,17.428728,26.245699,10.35,36.642937,37.930977,21.259514,65.887199,37.695854,39.608719,15.373872,34.207722
29/11/2007,17.82233,26.027332,10.14,36.883446,37.744892,21.559975,66.38929,39.108845,39.54607,15.478811,33.966476
30/11/2007,17.622145,26.129702,9.76,37.16275,39.013496,21.662027,66.816467,39.370155,39.97678,15.583753,35.499451
03/12/2007,17.297209,25.201618,9.66,37.139465,38.455315,21.701712,66.584129,38.895927,40.509277,15.446012,35.180389
04/12/2007,17.389078,24.737577,9.25,37.387737,37.812565,21.463596,66.037094,38.808815,39.992439,15.393545,34.355545
05/12/2007,17.939348,25.051477,8.91,37.93858,38.807858,21.781078,67.386002,39.883087,40.579769,15.728045,34.939178
06/12/2007,18.369699,25.426813,9.07,38.225651,39.434219,22.007847,68.525101,41.315426,41.276707,15.852665,35.958553
07/12/2007,18.790379,25.406338,9.05,38.031696,38.927979,21.809423,68.570076,41.838039,41.276707,16.003521,35.857395
10/12/2007,18.781675,25.529177,9.18,38.349785,40.017658,21.486282,68.967224,44.354321,41.433319,15.983837,36.900135
11/12/2007,18.233341,25.269852,9.07,38.039452,38.310211,22.370676,67.655769,43.812355,39.914143,15.629665,35.748455
12/12/2007,18.457705,25.419983,8.97,37.587433,37.263447,23.646236,68.884796,45.622135,39.812321,15.616539,35.911873
13/12/2007,18.551512,25.645187,8.84,37.665371,36.937397,23.697264,69.484314,45.29282,40.430962,15.505046,35.608387
14/12/2007,18.412249,25.187963,8.43,37.119846,36.173771,23.323099,68.330261,44.275764,39.420776,15.150865,35.17263
17/12/2007,17.832968,24.894524,7.95,37.275688,35.779076,22.960268,67.363525,43.345882,40.047256,15.065601,34.651253
18/12/2007,17.695644,25.112904,7.68,37.59523,35.607471,23.016962,68.510124,45.70932,40.42313,15.327948,34.161015
19/12/2007,17.709183,24.95594,7.98,37.47052,35.684704,22.642796,68.517601,47.171947,40.094234,15.262374,34.223282
20/12/2007,18.104715,25.134884,7.97,37.291271,35.530254,22.824209,69.042168,48.334282,40.462288,15.22957,33.717464
21/12/2007,18.752665,25.5616,7.79,37.571831,35.967854,23.515856,70.016396,48.886398,41.0966,15.242693,34.324432
24/12/2007,19.225567,25.830017,7.77,37.98489,36.276722,23.527197,70.188759,49.661297,41.754387,15.301725,34.884697
26/12/2007,19.240074,25.843782,7.77,37.704327,36.29388,23.980722,71.050568,49.884087,41.80138,15.216455,34.970291
27/12/2007,19.203323,25.596024,7.53,37.228931,35.573166,23.821993,70.196251,49.574139,41.104431,15.032811,33.958694
28/12/2007,19.325176,25.699255,7.32,37.47052,35.264278,24.060097,71.192963,50.01001,40.947811,15.019686,33.663002
31/12/2007,19.155935,25.513428,7.5,37.041893,35.40155,23.561207,70.21125,49.748493,41.229717,14.90819,33.966476
02/01/2008,18.842602,25.300072,7.14,36.550903,34.800957,23.243734,70.076347,51.056129,40.109898,15.026249,33.102993
03/01/2008,18.851307,25.327602,6.77,36.145653,34.577869,23.464832,70.316162,51.298283,38.559372,15.20334,32.875343
04/01/2008,17.412287,24.804531,6.25,35.631287,34.191753,23.18137,69.004707,49.680668,37.282936,14.97378,32.129608
07/01/2008,17.179222,24.900881,6.08,36.285931,34.234661,23.487509,68.360245,49.990631,37.015961,15.236135,32.451454
08/01/2008,16.561258,24.364052,6,35.82613,32.956226,22.417027,67.483429,48.431145,35.838112,15.393545,31.164074
09/01/2008,17.349422,24.639349,5.53,36.550903,33.239361,22.325436,68.615013,48.605503,36.45845,15.688689,31.603655
10/01/2008,17.215971,24.721935,5.96,37.719906,33.719845,22.554424,68.689957,48.741116,36.568371,15.793628,32.443607
11/01/2008,16.700514,24.205755,6.25,37.18996,33.03344,21.867481,67.670776,51.230469,34.707375,15.754276,32.074657
14/01/2008,17.289471,24.405348,6.41,37.151012,33.651218,22.044931,68.067955,54.349445,35.154968,15.721487,32.467159
15/01/2008,16.347532,23.76527,6.12,36.621056,32.501469,21.541189,66.711533,50.533058,34.628845,15.47225,30.748024
